epoch,step,train_loss
0,31,2.3494138717651367
1,63,2.304433822631836
2,95,2.2917566299438477
3,127,2.2949788570404053
4,159,2.2559313774108887
5,191,2.248098850250244
6,223,2.207632541656494
7,255,2.1631226539611816
8,287,2.1855289936065674
9,319,2.0657315254211426
10,351,2.0339555740356445
11,383,2.086827278137207
12,415,2.0072174072265625
13,447,1.9713084697723389
14,479,1.938321590423584
15,511,1.9144881963729858
16,543,1.9759852886199951
17,575,1.9086899757385254
18,607,1.9455487728118896
19,639,2.0765655040740967
20,671,1.960742473602295
21,703,1.9090863466262817
22,735,1.8859539031982422
23,767,1.8828673362731934
24,799,1.9121253490447998
25,831,1.9074112176895142
26,863,1.910488247871399
27,895,1.9258785247802734
28,927,1.8784114122390747
29,959,1.8738638162612915
30,991,1.8539260625839233
31,1023,1.8367676734924316
32,1055,1.8340617418289185
33,1087,1.845477819442749
34,1119,1.821075201034546
35,1151,1.8801109790802002
36,1183,1.8554140329360962
37,1215,1.997956395149231
38,1247,2.020805835723877
39,1279,1.9090125560760498
40,1311,1.9028979539871216
41,1343,1.9319393634796143
42,1375,1.857019305229187
43,1407,1.8484925031661987
44,1439,1.8129663467407227
45,1471,1.8228627443313599
46,1503,1.7750065326690674
47,1535,1.7768031358718872
48,1567,1.8037670850753784
49,1599,1.8099055290222168
50,1631,1.7797324657440186
51,1663,1.7809536457061768
52,1695,1.768093228340149
53,1727,1.819974660873413
54,1759,1.7622958421707153
55,1791,1.7714107036590576
56,1823,1.7459337711334229
57,1855,1.7818410396575928
58,1887,1.7352395057678223
59,1919,1.7544833421707153
60,1951,1.7291817665100098
61,1983,1.6930164098739624
62,2015,1.6324256658554077
63,2047,1.6720577478408813
64,2079,1.6706010103225708
65,2111,1.591585397720337
66,2143,1.6389168500900269
67,2175,1.6589038372039795
68,2207,1.618438959121704
69,2239,1.5872056484222412
70,2271,1.58339524269104
71,2303,1.5771093368530273
72,2335,1.5970535278320312
73,2367,1.5834853649139404
74,2399,1.5600833892822266
75,2431,1.8465498685836792
76,2463,1.7696093320846558
77,2495,1.6014232635498047
78,2527,1.527901530265808
79,2559,1.5545661449432373
80,2591,1.5150364637374878
81,2623,1.5488039255142212
82,2655,1.5265605449676514
83,2687,1.491899013519287
84,2719,1.453455924987793
85,2751,1.491276502609253
86,2783,1.4524478912353516
87,2815,1.4310129880905151
88,2847,1.5002535581588745
89,2879,1.4623953104019165
90,2911,1.4030741453170776
91,2943,1.3835057020187378
92,2975,1.3990312814712524
93,3007,1.3757821321487427
94,3039,1.3824591636657715
95,3071,1.4146296977996826
96,3103,1.4191014766693115
97,3135,1.403876781463623
98,3167,1.3351309299468994
99,3199,1.382288932800293
100,3231,1.4008889198303223
101,3263,1.3241353034973145
102,3295,1.252719521522522
103,3327,1.2752711772918701
104,3359,1.2803120613098145
105,3391,1.2139277458190918
106,3423,1.206430196762085
107,3455,1.1759496927261353
108,3487,1.2372708320617676
109,3519,1.23600172996521
110,3551,1.1689964532852173
