epoch,step,train_loss
0,41,2.3377954959869385
1,83,2.2716238498687744
2,125,2.219622850418091
3,167,2.1554718017578125
4,209,2.1110570430755615
5,251,2.062060832977295
6,293,2.095550298690796
7,335,1.9963903427124023
8,377,1.9624385833740234
9,419,1.9199607372283936
10,461,1.9707531929016113
11,503,1.9376591444015503
12,545,1.8911514282226562
13,587,1.929429292678833
14,629,1.8842202425003052
15,671,1.8990617990493774
16,713,1.8767400979995728
17,755,1.900018572807312
18,797,1.9023327827453613
19,839,1.8782049417495728
20,881,1.8726314306259155
21,923,1.8823915719985962
22,965,1.8379987478256226
23,1007,1.8472480773925781
24,1049,1.846856951713562
25,1091,1.8383070230484009
26,1133,1.8986939191818237
27,1175,1.8508175611495972
28,1217,1.8068535327911377
29,1259,1.8799675703048706
30,1301,1.801308035850525
31,1343,1.7563375234603882
32,1385,1.7819904088974
33,1427,1.7425214052200317
34,1469,1.7106415033340454
35,1511,1.7043498754501343
36,1553,1.6784136295318604
37,1595,1.7370967864990234
38,1637,1.75263249874115
39,1679,1.708670735359192
40,1721,1.6101313829421997
41,1763,1.6290366649627686
42,1805,1.629966378211975
43,1847,1.6115598678588867
44,1889,1.5597846508026123
45,1931,1.6343995332717896
46,1973,1.6001249551773071
47,2015,1.501919150352478
48,2057,1.4995534420013428
49,2099,1.5207606554031372
50,2141,1.4982929229736328
51,2183,1.4680184125900269
52,2225,1.4581794738769531
53,2267,1.5072822570800781
54,2309,1.512101411819458
55,2351,1.5368701219558716
56,2393,1.387040376663208
57,2435,1.4430369138717651
58,2477,1.380531668663025
59,2519,1.3706789016723633
60,2561,1.4087133407592773
61,2603,1.4464486837387085
62,2645,1.3527659177780151
63,2687,1.3526611328125
64,2729,1.268195629119873
65,2771,1.273478627204895
66,2813,1.2352344989776611
67,2855,1.2245320081710815
68,2897,1.2065699100494385
69,2939,1.2058320045471191
70,2981,1.2103960514068604
71,3023,1.2098803520202637
72,3065,1.206151008605957
73,3107,1.2104827165603638
74,3149,1.193870186805725
75,3191,1.1150610446929932
76,3233,1.1743035316467285
77,3275,1.1392929553985596
78,3317,1.098382592201233
79,3359,1.1241786479949951
80,3401,1.0814576148986816
81,3443,1.0724456310272217
82,3485,1.0451046228408813
83,3527,1.0412323474884033
84,3569,1.024703860282898
85,3611,1.0216755867004395
86,3653,1.0234297513961792
87,3695,1.0104899406433105
88,3737,0.998430609703064
89,3779,0.936026394367218
90,3821,0.860481858253479
91,3863,0.8813042640686035
92,3905,0.8740381002426147
93,3947,0.8752104640007019
94,3989,0.8205006718635559
95,4031,0.8288536071777344
96,4073,0.7758746147155762
97,4115,0.6797934770584106
98,4157,0.7904216051101685
99,4199,0.7587867379188538
100,4241,0.7999953031539917
101,4283,0.6809465885162354
102,4325,0.6743419170379639
103,4367,0.6508439779281616
104,4409,0.6259694695472717
105,4451,0.6910969018936157
106,4493,0.6888622641563416
107,4535,0.6981658935546875
108,4577,0.5866712927818298
109,4619,0.5384717583656311
110,4661,0.554063081741333
111,4703,0.6423830389976501
112,4745,0.5817258358001709
113,4787,0.5500746965408325
114,4829,0.5411065816879272
115,4871,0.5385209918022156
116,4913,0.4400497376918793
117,4955,0.4352961480617523
118,4997,0.39867785573005676
119,5039,0.3610266447067261
120,5081,0.40158790349960327
121,5123,0.3790944516658783
122,5165,0.3499816954135895
123,5207,0.3248991072177887
124,5249,0.30016201734542847
125,5291,0.3461185395717621
126,5333,0.30741143226623535
127,5375,0.28865715861320496
128,5417,0.2624306380748749
129,5459,0.2630949914455414
130,5501,0.28397709131240845
131,5543,0.25216203927993774
132,5585,0.3158056139945984
133,5627,0.3165411353111267
134,5669,0.28569525480270386
135,5711,0.24616247415542603
136,5753,0.3018759489059448
137,5795,0.35527586936950684
138,5837,0.2992297112941742
139,5879,0.2728588879108429
140,5921,0.31281140446662903
141,5963,0.3200969696044922
142,6005,0.21209105849266052
143,6047,0.27401837706565857
144,6089,0.2428208440542221
145,6131,0.22235874831676483
146,6173,0.23401696979999542
147,6215,0.22315560281276703
148,6257,0.2004346251487732
149,6299,0.24577805399894714
150,6341,0.21597407758235931
151,6383,0.20420238375663757
152,6425,0.18860121071338654
153,6467,0.19819137454032898
154,6509,0.2299748808145523
155,6551,0.1992621272802353
156,6593,0.2022392451763153
157,6635,0.22253815829753876
158,6677,0.1990005224943161
159,6719,0.20720866322517395
160,6761,0.19579316675662994
161,6803,0.16100859642028809
162,6845,0.2082166075706482
163,6887,0.1769895851612091
164,6929,0.20718559622764587
165,6971,0.1843441128730774
166,7013,0.18069134652614594
167,7055,0.1917867660522461
168,7097,0.23035234212875366
169,7139,0.16352346539497375
170,7181,0.17595884203910828
171,7223,0.15861770510673523
172,7265,0.14608396589756012
173,7307,0.16480228304862976
174,7349,0.18919527530670166
175,7391,0.17654657363891602
176,7433,0.16102586686611176
177,7475,0.150801420211792
178,7517,0.16638614237308502
179,7559,0.20549070835113525
180,7601,0.18094231188297272
181,7643,0.19606362283229828
182,7685,0.1901940256357193
183,7727,0.12060954421758652
184,7769,0.20230287313461304
185,7811,0.1757228821516037
186,7853,0.16767822206020355
187,7895,0.17809659242630005
188,7937,0.1583223044872284
189,7979,0.20889535546302795
190,8021,0.14373284578323364
191,8063,0.18966567516326904
192,8105,0.1781838834285736
193,8147,0.18108999729156494
194,8189,0.17277903854846954
195,8231,0.18919546902179718
196,8273,0.15804284811019897
197,8315,0.16524988412857056
198,8357,0.16088242828845978
